arm,channel,swap_type,n,mae_delta
B_concat,cpcm_dft,*C#N>>*C(=O)N([H])C([H])([H])[H],660,4.815169236656861
B_concat,cpcm_dft,*C#N>>*C(=O)OC([H])([H])[H],305,3.0300888804623143
B_concat,cpcm_dft,*C#N>>*C([H])([H])[H],500,2.3351503236178632
B_concat,cpcm_dft,*C#N>>*F,20,2.3442813637616804
B_concat,cpcm_dft,*C#N>>*[H],125,1.9686401928256616
B_concat,cpcm_dft,*C#N>>*c1c([H])c([H])c([H])c([H])c1[H],675,1.906169888086116
B_concat,cpcm_dft,*C(=O)C([H])([H])[H]>>*C(=O)N([H])C([H])([H])[H],200,2.0003380966741506
B_concat,cpcm_dft,*C(=O)C([H])([H])[H]>>*C(=O)OC([H])([H])[H],190,3.296472988520778
B_concat,cpcm_dft,*C(=O)C([H])([H])[H]>>*C([H])([H])[H],455,1.8434459746641199
B_concat,cpcm_dft,*C(=O)C([H])([H])[H]>>*[H],60,2.9700091189788336
B_concat,cpcm_dft,*C(=O)C([H])([H])[H]>>*c1c([H])c([H])c([H])c([H])c1[H],550,2.8703305984544065
B_concat,cpcm_dft,*C(=O)N([H])C([H])([H])[H]>>*C(=O)OC([H])([H])[H],285,1.4851426086550863
B_concat,cpcm_dft,*C(=O)N([H])C([H])([H])[H]>>*C([H])([H])[H],875,2.322525714308855
B_concat,cpcm_dft,*C(=O)N([H])C([H])([H])[H]>>*Cl,20,6.776366217990253
B_concat,cpcm_dft,*C(=O)N([H])C([H])([H])[H]>>*[H],105,2.619801858514249
B_concat,cpcm_dft,*C(=O)N([H])C([H])([H])[H]>>*c1c([H])c([H])c([H])c([H])c1[H],470,2.6125155887337574
B_concat,cpcm_dft,*C(=O)OC([H])([H])[H]>>*C([H])([H])[H],685,2.0310762707670142
B_concat,cpcm_dft,*C(=O)OC([H])([H])[H]>>*[H],265,3.070084361613251
B_concat,cpcm_dft,*C(=O)OC([H])([H])[H]>>*c1c([H])c([H])c([H])c([H])c1[H],575,3.027641284011814
B_concat,cpcm_dft,*C([H])([H])[H]>>*N([H])C([H])([H])[H],140,1.5591024270602822
B_concat,cpcm_dft,*C([H])([H])[H]>>*OC([H])([H])[H],110,1.216698267566186
B_concat,cpcm_dft,*C([H])([H])[H]>>*[H],445,2.1900810030858033
B_concat,cpcm_dft,*C([H])([H])[H]>>*c1c([H])c([H])c([H])c([H])c1[H],400,1.3313441404111068
B_concat,cpcm_dft,*F>>*c1c([H])c([H])c([H])c([H])c1[H],10,3.5889869818724898
B_concat,cpcm_dft,*N([H])C([H])([H])[H]>>*OC([H])([H])[H],440,2.5764376187814744
B_concat,cpcm_dft,*[H]>>*c1c([H])c([H])c([H])c([H])c1[H],445,2.403642639563922
B_concat,d1_own_dft,*/C([H])=C(\[H])C(=C([H])[H])C([H])([H])[H]>>*C([H])=O,140,4.4240208096770965
B_concat,d1_own_dft,*Br>>*C#N,10,1.8314753155208632
B_concat,d1_own_dft,*Br>>*Cl,30,1.5873284006000263
B_concat,d1_own_dft,*C#N>>*C(=O)C([H])([H])[H],490,1.419445357769017
B_concat,d1_own_dft,*C#N>>*C(=O)N([H])C([H])([H])[H],660,1.9044549685288499
B_concat,d1_own_dft,*C#N>>*C(=O)OC([H])([H])[H],305,2.667924905132982
B_concat,d1_own_dft,*C#N>>*C([H])([H])[H],500,1.3975998336060138
