rxn_id,elst_dft,pauli_dft,oi_dft,disp_dft,cpcm_dft,cds_dft,e_bond_kcal,e_frag1_dist_eh,e_frag1_rel_eh,e_frag2_dist_eh,e_frag2_rel_eh,d1_b3lyp,d2_b3lyp,sum_dist_b3lyp
3810,-41.96570636822306,88.22574677653861,-40.57766858929443,-13.474373009974547,-8.654499597101367,-2.2109920440438366,-18.656309349230554,-393.746820941074,-393.749226158396,-457.428852423643,-457.442645121779,1.5092966567401,8.65504875323311,10.16434540997321
3821,-44.17307567457123,105.73009255656075,-55.54120729901488,-13.57666728265126,-0.24191243236501384,-2.081413282929176,-9.88187254858161,-625.793153050191,-625.825767157219,-157.168822241132,-157.184090607555,20.46566114821106,9.581044583891206,30.046705732102264
3829,-77.05573463952932,170.6964491716044,-86.58494667543464,-15.007469016474966,-5.35375646537575,1.1951931988841826,-12.107876501773458,-351.243264417486,-351.273227138934,-413.26515624841,-413.295252411496,18.80189157732546,18.885627469413247,37.68751904673871
3836,-51.218659993711874,135.90182512677592,-84.7628836856452,-12.989424213025524,-3.92486781968562,-2.1396605320891875,-19.14135823394069,-270.493593132923,-270.514548655352,-588.141778766553,-588.189949617831,13.149788858107174,30.227665550612816,43.37745440871999
3888,-22.473206759291823,72.95797409177993,-38.20475770286925,-13.177507502184564,-14.47550275441187,-3.1633040614369468,-18.535266536740625,-457.139089946782,-457.153115490489,-381.420452909252,-381.428573180348,8.801161555006047,5.095547044703399,13.896708599709445
3897,-38.59727548380583,92.29646336023147,-44.769349672294844,-13.25479922462576,-3.3129469359771955,-0.5248778522931311,-8.16209705436658,-585.756095496663,-585.778235964059,-235.777914546137,-235.793633564872,13.893353051219451,9.86383317919569,23.757186230415144
3903,-44.71161170982398,111.96363782413277,-63.29328627447747,-12.18582779942284,-6.279664264621127,-1.4496405722502388,-15.951292085702951,-351.255822807196,-351.27328323219,-468.797268280224,-468.841305670231,10.956582104902465,27.63387944241667,38.59046154731914
3909,-21.950582983780475,62.99271532324314,-32.95116335847924,-13.580670793095782,-4.538940433380607,-2.729190999249777,-12.755106904330782,-157.173308189408,-157.182769259514,-661.435069485378,-661.448854632325,5.936911126289657,8.650310310621727,14.587221436911385
3931,-46.511152506076016,113.18774101199654,-60.9550576484309,-13.39122794191024,-2.951055947190265,-1.6040377095697793,-12.222591006719355,-351.251778605955,-351.27324386773,-450.106203153245,-450.133718361928,13.469655127060895,17.266054129396267,30.735709256457163
3932,-52.62363601037199,124.12624262743762,-69.08733087177086,-14.054650598936288,0.02352595769209968,-1.6804064910765222,-13.295257960716924,-351.252529712383,-351.273238680547,-450.100984568153,-450.133707873306,12.995073720981976,20.534184006137796,33.52925772711977
