model,fold,member,channel,MAE,RMSE,NMAE,R2
m1,2,3,oi,33.81689726660965,50.92485137018697,0.6205167103221727,0.5224341495024969
m1,2,3,disp,1.4465546440926327,1.9887878954317175,0.25095657031703217,0.9271468196088678
m1,2,3,barrier,15.429914693164218,21.196658118871646,0.5273773155595811,0.6622922154679876
m1,2,4,strain,9.98742926842088,14.380380525862654,0.43233590460728666,0.7289069664925536
m1,2,4,Pauli,49.081706827613196,81.96717919175487,0.5890378997878871,0.5167908779218484
m1,2,4,Velst,22.591546277331698,37.50304427326724,0.5978297636369581,0.49327802512513264
m1,2,4,oi,30.565635519042896,50.34454947501415,0.5608583026305701,0.5332561102182358
m1,2,4,disp,1.3418771787813515,1.8648650799552546,0.23279652514260524,0.9359430268902365
m1,2,4,barrier,15.297221776786124,21.01162850125012,0.5228420193233516,0.6681623121706376
m1,3,0,strain,13.208568797661709,20.541484319163697,0.5117549815941991,0.5835968920868502
m1,3,0,Pauli,45.8233837897961,70.73071470542978,0.5352709348953502,0.6350487001517282
m1,3,0,Velst,22.43330537967193,34.04517405551247,0.5847267800264248,0.5833952495197594
m1,3,0,oi,31.43001192655319,46.64344952779333,0.539118709391371,0.6422076307734017
m1,3,0,disp,1.67950035402408,2.2479723631389548,0.295437731774236,0.9064997820954068
m1,3,0,barrier,16.66887693336377,22.81745204455314,0.6283895480728487,0.554134763571777
m1,3,1,strain,13.481492163279118,21.165644513762324,0.5223291697661143,0.5579073312809657
m1,3,1,Pauli,48.85585923683949,78.99395200301188,0.5706938092739019,0.5447955432849783
m1,3,1,Velst,25.396955960836166,38.63313955973699,0.6619746858574534,0.4635452364659125
m1,3,1,oi,32.55650048989516,51.275866158335425,0.5584413574970175,0.5676098799833906
m1,3,1,disp,1.3855927078387675,1.9471701545094144,0.2437369934373577,0.9298482521343352
m1,3,1,barrier,16.4779814103475,21.712217248297918,0.6211930973511314,0.5962824110100756
m1,3,2,strain,12.650190987648108,20.31670545599558,0.4901210990545021,0.592660161904359
m1,3,2,Pauli,51.87287899775383,82.50732456806654,0.6059361430882365,0.503403297797685
m1,3,2,Velst,26.238125367042347,39.043960462306224,0.6838998667446792,0.4520753627611399
m1,3,2,oi,33.93387119586651,52.4348037744806,0.5820673847187702,0.5478432218931121
m1,3,2,disp,1.5080014895170162,2.1151198579034527,0.2652696907789332,0.9172247210457883
m1,3,2,barrier,16.126442513404747,21.89979818874859,0.6079406527225594,0.5892765069553279
m1,3,3,strain,13.915515292913486,21.554846667732313,0.5391450339312625,0.5414990992002644
m1,3,3,Pauli,57.35881063877008,94.48511601058563,0.6700182670040316,0.3487531687996812
